AccountNum,Name,PledgeAmount,Duration,PaymentPeriod,LastTransactionDate,NextExpectedPayment,AccumulatedAmout,RemainingAmount,WeeksLeft,SignupDate,ThankyouLetterSentDate,NA,NotificationDate,TicketDate,TicketCategory,TicketResult
1,001,50000,3y,12m,2013/10/27,2014/10/27,16700.00,33300.00,28,10/2/13,10/31/13,29,,,,
2,002,50000,3y,6m,2014/3/23,2014/9/23,18000.00,32000.00,23,10/2/13,10/31/13,29,,,,
3,003,15000,3y,1m,2014/3/23,2014/4/30,1251.00,13749.00,2,10/2/13,10/31/13,29,,,,
4,004,20000,3y,2w,2014/4/6,2014/4/20,1792.00,18208.00,0,10/2/13,10/31/13,29,,,,
5,005,15000,3y,6m,2013/11/24,2014/5/24,3000.00,12000.00,5,10/2/13,10/31/13,29,,,,
6,006,50000,3y,12m,2014/1/5,2015/1/5,40000.00,10000.00,38,10/2/13,10/31/13,29,,,,
7,007,45000,8y,12m,,2014/12/31,-,45000.00,37,10/2/13,10/31/13,29,,2/3/14,FPR,예정일 변경
8,008,30000,4y,12m,2013/9/16,2014/9/16,5000.00,25000.00,22,10/2/13,10/31/13,29,,,,
9,009,100000,4y,1m,2014/4/6,2014/5/30,12015.00,87985.00,6,10/2/13,10/31/13,29,,,,
10,010,15000,2y,12m,2013/12/30,2014/12/30,10000.00,5000.00,37,4/6/14,4/9/14,3,,,,
11,011,35000,3y,6m,2013/10/15,2014/4/15,10000.00,25000.00,0,10/2/13,10/31/13,29,2014/4/10 메일 발송0,,,
12,012,30000,3y,6m,2013/12/22,2014/6/22,5000.00,25000.00,9,10/2/13,10/31/13,29,,,,
13,013,60000,3y,12m,2014/1/5,2015/1/5,40000.00,20000.00,38,10/2/13,10/31/13,29,,,,
14,014,10000,3y,12m,2013/10/5,2014/10/5,3333.00,6667.00,24,10/2/13,10/31/13,29,,,,
15,015,30000,5y,1m,2014/4/13,2014/5/30,3500.00,26500.00,6,10/21/13,10/31/13,10,,,,
16,016,30000,3y,12m,2014/2/2,2015/2/2,10000.00,20000.00,42,10/21/13,10/31/13,10,,,,
17,017,6000,5y,12m,2014/3/30,2015/3/30,1200.00,4800.00,50,4/6/14,4/9/14,3,,,,
18,018,30000,3y,2w,2014/4/18,2014/5/2,3850.00,26150.00,2,10/21/13,10/31/13,10,,,,
19,019,18000,3y,6m,2013/11/3,2014/5/3,3000.00,15000.00,2,11/7/13,11/13/13,6,,,,
20,020,30000,100m,1m,2014/4/13,2014/6/30,2100.00,27900.00,11,11/7/13,11/13/13,6,,,,
21,021,10000,3y,12m,2013/11/6,2014/11/6,3300.00,6700.00,29,11/7/13,11/13/13,6,,,,
22,022,10000,3y,4m,2014/4/6,2014/9/30,3000.00,7000.00,24,11/20/13,11/21/13,1,,,,
23,023,30000,100m,1m,2014/4/13,2014/5/30,1800.00,28200.00,6,11/20/13,11/21/13,1,,,,
24,024,10000,3y,12m,2014/2/2,2014/6/2,2000.00,8000.00,7,11/20/13,11/21/13,1,,,,
